Digital_Input	Screen_Position_Y_axis(px)	time(ms)
559	559	9
559	559	17
559	559	26
559	559	35
559	559	43
559	559	51
559	559	60
559	559	69
559	559	78
559	559	87
559	559	96
559	559	105
559	559	113
559	559	121
559	559	129
559	559	137
559	559	146
559	559	155
559	559	164
559	559	173
559	559	182
559	559	191
559	559	200
559	559	209
559	559	217
559	559	225
559	559	234
559	559	243
559	559	251
559	559	260
559	559	269
559	559	278
559	559	287
559	559	297
559	559	306
559	559	315
559	559	324
559	559	333
559	559	341
559	559	349
559	559	358
559	559	367
559	559	376
559	559	384
559	559	392
559	559	400
559	559	409
559	559	418
559	559	427
559	559	436
559	559	445
559	559	453
559	559	462
559	559	470
559	559	478
559	559	486
559	559	495
559	559	503
559	559	511
559	559	519
559	559	528
559	559	536
559	559	545
559	559	554
559	559	563
559	559	572
559	559	581
559	559	589
559	559	598
559	559	607
559	559	615
559	559	623
559	559	631
556	556	640
549	549	648
546	546	657
532	532	666
524	524	675
515	515	684
500	500	693
476	476	702
457	457	710
429	429	719
418	418	727
409	409	736
378	378	745
368	368	753
341	341	761
330	330	769
321	321	777
297	297	786
287	287	795
263	263	804
253	253	812
244	244	821
221	221	829
213	213	838
188	188	847
183	183	856
170	170	865
166	166	873
163	163	882
155	155	891
152	152	900
149	149	910
139	139	918
133	133	927
130	130	936
126	126	944
116	116	952
112	112	961
102	102	970
97	97	978
92	92	986
80	80	994
77	77	1003
73	73	1011
63	63	1019
60	60	1028
53	53	1037
51	51	1045
49	49	1053
46	46	1061
45	45	1070
43	43	1079
42	42	1088
42	42	1096
42	42	1105
42	42	1114
42	42	1122
42	42	1131
42	42	1139
42	42	1148
42	42	1157
42	42	1165
42	42	1174
42	42	1182
43	43	1191
46	46	1199
49	49	1208
55	55	1217
62	62	1226
67	67	1234
72	72	1243
90	90	1251
97	97	1260
107	107	1269
136	136	1277
148	148	1286
194	194	1294
207	207	1303
250	250	1312
268	268	1320
288	288	1328
348	348	1337
370	370	1347
430	430	1355
449	449	1364
462	462	1372
497	497	1380
508	508	1389
537	537	1397
545	545	1405
554	554	1414
581	581	1423
588	588	1432
601	601	1441
606	606	1449
611	611	1458
624	624	1466
628	628	1475
640	640	1484
644	644	1492
648	648	1501
659	659	1510
674	674	1519
677	677	1528
680	680	1537
688	688	1546
691	691	1555
694	694	1563
702	702	1571
704	704	1579
709	709	1588
710	710	1597
