series:	100v 400f
exercise:	400 300 100v 400f 240 100 100v 400f 500
Score (% of rect width)	Inaccuracy (% of half of rect height)	Stddev (% of rect height)	Entry (% of rect width)	Exit (% of rect width)
0.0125	24.6913580247	8.50163414364	0.175	0.1875
0.1625	2.63827160494	1.5865064587	0.0	0.7
0.3	3.1	1.48749576533	0.275	0.7
0.1875	2.81358024691	1.70758905687	0.0625	0.9625
0.35	4.36172839506	3.04993172446	0.475	1.0125
0.0	44.9456790123	11.7347459413	1.0125	0.0
0.0375	32.3604938272	15.7023719978	0.7875	0.925
0.1875	6.15432098765	3.85603405434	0.4375	0.9625
0.0375	22.4913580247	7.93580746272	0.0375	0.075
