Digital_Input	Screen_Position_Y_axis(px)	time(ms)
1337	1337	8
1336	1336	17
1335	1335	25
1334	1334	33
1333	1333	41
1332	1332	50
1330	1330	58
1328	1328	67
1322	1322	75
1318	1318	83
1316	1316	91
1313	1313	100
1310	1310	108
1307	1307	117
1307	1307	125
1305	1305	133
1305	1305	141
1305	1305	150
1305	1305	158
1305	1305	167
1305	1305	175
1306	1306	183
1306	1306	191
1317	1317	200
1322	1322	209
1328	1328	218
1335	1335	226
1343	1343	235
1349	1349	243
1354	1354	251
1356	1356	260
1356	1356	269
1356	1356	277
1356	1356	285
1340	1340	293
1340	1340	302
1328	1328	311
1285	1285	320
1261	1261	328
1229	1229	336
1205	1205	344
1205	1205	352
1150	1150	360
1117	1117	369
1095	1095	377
1076	1076	386
1061	1061	395
1047	1047	403
1028	1028	411
1015	1015	420
1002	1002	429
989	989	437
978	978	445
968	968	453
958	958	461
950	950	470
943	943	479
935	935	488
919	919	497
907	907	506
898	898	514
887	887	522
878	878	530
868	868	538
861	861	546
861	861	554
841	841	562
832	832	570
821	821	578
813	813	587
813	813	595
797	797	603
791	791	611
787	787	620
782	782	628
777	777	637
772	772	645
766	766	653
759	759	661
751	751	670
744	744	678
736	736	687
731	731	695
725	725	703
720	720	711
717	717	720
713	713	728
703	703	737
703	703	745
700	700	753
688	688	761
688	688	770
674	674	779
673	673	788
673	673	797
673	673	805
673	673	813
673	673	821
673	673	830
673	673	839
673	673	847
673	673	855
673	673	864
673	673	872
673	673	881
673	673	890
673	673	899
673	673	907
673	673	915
673	673	923
673	673	931
673	673	939
673	673	948
673	673	957
673	673	966
672	672	974
672	672	982
672	672	990
672	672	998
672	672	1007
672	672	1016
672	672	1024
672	672	1032
672	672	1040
672	672	1048
672	672	1057
672	672	1066
672	672	1074
672	672	1082
672	672	1090
672	672	1099
672	672	1107
672	672	1115
672	672	1123
672	672	1131
672	672	1139
672	672	1148
672	672	1157
672	672	1166
672	672	1175
672	672	1183
672	672	1191
672	672	1199
672	672	1207
672	672	1215
672	672	1223
672	672	1231
672	672	1239
672	672	1248
672	672	1257
672	672	1265
672	672	1274
672	672	1283
672	672	1291
672	672	1300
672	672	1308
672	672	1317
672	672	1325
672	672	1334
672	672	1342
672	672	1351
672	672	1360
672	672	1369
672	672	1377
672	672	1385
672	672	1393
672	672	1402
672	672	1411
672	672	1420
672	672	1429
672	672	1437
672	672	1446
672	672	1455
672	672	1463
672	672	1471
672	672	1479
672	672	1488
672	672	1497
672	672	1506
672	672	1514
672	672	1522
672	672	1530
672	672	1538
672	672	1547
672	672	1556
672	672	1564
672	672	1572
672	672	1581
672	672	1590
672	672	1598
672	672	1607
672	672	1615
672	672	1623
672	672	1632
672	672	1640
672	672	1648
672	672	1657
672	672	1665
672	672	1674
672	672	1682
672	672	1691
672	672	1699
672	672	1708
672	672	1717
672	672	1726
672	672	1734
672	672	1743
672	672	1751
672	672	1760
672	672	1769
672	672	1777
672	672	1785
672	672	1793
672	672	1801
672	672	1810
672	672	1818
672	672	1826
672	672	1834
672	672	1843
672	672	1851
672	672	1859
672	672	1868
672	672	1877
672	672	1885
672	672	1893
672	672	1901
672	672	1910
672	672	1918
672	672	1927
672	672	1935
672	672	1943
672	672	1951
672	672	1960
672	672	1968
672	672	1977
672	672	1986
672	672	1994
672	672	2002
672	672	2011
672	672	2020
672	672	2029
672	672	2038
672	672	2047
672	672	2055
672	672	2064
672	672	2073
672	672	2081
672	672	2090
672	672	2099
672	672	2108
672	672	2117
672	672	2125
672	672	2133
672	672	2141
672	672	2150
672	672	2158
672	672	2167
672	672	2175
672	672	2183
672	672	2191
672	672	2200
672	672	2208
672	672	2217
672	672	2225
672	672	2234
672	672	2243
672	672	2251
672	672	2260
672	672	2269
672	672	2277
672	672	2285
672	672	2293
672	672	2301
672	672	2309
672	672	2318
672	672	2327
672	672	2337
672	672	2345
672	672	2353
672	672	2361
672	672	2370
672	672	2378
672	672	2387
672	672	2396
672	672	2405
672	672	2413
672	672	2421
672	672	2429
672	672	2438
672	672	2447
672	672	2456
672	672	2464
672	672	2472
672	672	2480
672	672	2489
672	672	2497
672	672	2505
672	672	2513
672	672	2521
672	672	2530
672	672	2538
672	672	2547
672	672	2555
672	672	2563
672	672	2571
672	672	2579
672	672	2589
672	672	2598
672	672	2607
672	672	2615
672	672	2624
672	672	2632
672	672	2640
672	672	2649
672	672	2658
672	672	2667
672	672	2675
672	672	2683
672	672	2691
672	672	2700
672	672	2709
672	672	2718
672	672	2727
672	672	2735
672	672	2743
672	672	2751
672	672	2760
672	672	2768
672	672	2777
672	672	2786
672	672	2794
672	672	2802
672	672	2811
672	672	2820
672	672	2828
672	672	2836
672	672	2844
672	672	2852
672	672	2860
672	672	2869
672	672	2878
672	672	2886
672	672	2894
672	672	2902
672	672	2911
672	672	2919
672	672	2927
672	672	2935
672	672	2943
672	672	2951
672	672	2960
672	672	2969
672	672	2977
672	672	2985
672	672	2993
672	672	3001
672	672	3010
672	672	3018
672	672	3027
672	672	3036
672	672	3044
672	672	3052
672	672	3061
672	672	3070
672	672	3079
672	672	3088
672	672	3097
672	672	3105
672	672	3113
672	672	3121
672	672	3130
672	672	3138
672	672	3147
672	672	3156
672	672	3164
672	672	3172
672	672	3180
672	672	3188
672	672	3197
672	672	3206
672	672	3214
672	672	3223
672	672	3231
672	672	3239
672	672	3247
672	672	3255
672	672	3263
672	672	3271
672	672	3280
672	672	3288
672	672	3297
672	672	3306
672	672	3314
672	672	3322
672	672	3330
672	672	3339
672	672	3347
672	672	3356
672	672	3364
672	672	3372
672	672	3380
672	672	3388
672	672	3397
672	672	3405
672	672	3413
672	672	3422
672	672	3430
672	672	3439
672	672	3448
672	672	3457
672	672	3465
672	672	3473
672	672	3481
672	672	3489
672	672	3498
672	672	3507
672	672	3515
672	672	3523
672	672	3531
672	672	3539
672	672	3548
672	672	3557
672	672	3565
672	672	3574
672	672	3583
672	672	3591
672	672	3600
672	672	3609
672	672	3618
672	672	3627
672	672	3636
672	672	3644
672	672	3652
672	672	3661
672	672	3670
672	672	3678
672	672	3687
672	672	3695
672	672	3703
672	672	3711
672	672	3720
672	672	3728
672	672	3737
672	672	3745
672	672	3753
672	672	3761
672	672	3770
672	672	3778
672	672	3787
672	672	3795
672	672	3803
672	672	3812
672	672	3820
672	672	3829
672	672	3838
672	672	3847
672	672	3856
672	672	3864
672	672	3872
672	672	3881
672	672	3890
672	672	3899
672	672	3908
672	672	3917
672	672	3927
672	672	3935
672	672	3943
672	672	3952
672	672	3960
672	672	3969
672	672	3978
672	672	3988
672	672	3997
672	672	4005
672	672	4014
672	672	4023
672	672	4031
672	672	4040
672	672	4049
672	672	4058
672	672	4067
672	672	4076
672	672	4084
672	672	4092
672	672	4100
672	672	4109
672	672	4118
672	672	4127
672	672	4136
672	672	4144
672	672	4153
672	672	4162
672	672	4171
672	672	4180
672	672	4189
672	672	4198
672	672	4207
672	672	4215
672	672	4223
672	672	4231
672	672	4240
672	672	4248
672	672	4257
672	672	4265
672	672	4273
672	672	4281
672	672	4290
672	672	4298
672	672	4307
672	672	4315
672	672	4323
672	672	4331
672	672	4340
672	672	4348
672	672	4357
672	672	4365
672	672	4373
672	672	4381
672	672	4390
672	672	4398
672	672	4406
672	672	4414
672	672	4423
672	672	4431
672	672	4440
672	672	4449
672	672	4457
672	672	4467
672	672	4475
672	672	4483
672	672	4491
672	672	4500
672	672	4508
672	672	4516
672	672	4524
672	672	4532
672	672	4540
672	672	4548
672	672	4557
672	672	4565
672	672	4573
672	672	4581
672	672	4589
672	672	4598
672	672	4607
672	672	4615
672	672	4623
672	672	4631
672	672	4640
672	672	4648
672	672	4657
672	672	4665
672	672	4673
672	672	4681
672	672	4690
672	672	4698
672	672	4706
672	672	4714
672	672	4722
672	672	4730
672	672	4739
672	672	4748
672	672	4757
672	672	4765
672	672	4773
672	672	4782
672	672	4791
672	672	4799
672	672	4807
672	672	4815
672	672	4824
672	672	4832
672	672	4840
672	672	4849
672	672	4858
672	672	4867
672	672	4876
672	672	4884
672	672	4892
672	672	4900
672	672	4909
672	672	4917
672	672	4925
672	672	4933
672	672	4941
672	672	4950
672	672	4958
672	672	4967
672	672	4976
672	672	4984
672	672	4992
672	672	5000
672	672	5009
672	672	5017
672	672	5025
672	672	5034
672	672	5042
672	672	5051
672	672	5060
672	672	5068
672	672	5077
672	672	5085
672	672	5093
672	672	5101
672	672	5110
672	672	5118
672	672	5126
672	672	5134
672	672	5143
672	672	5152
672	672	5161
672	672	5170
672	672	5179
672	672	5188
672	672	5196
672	672	5204
672	672	5212
672	672	5221
672	672	5230
672	672	5238
672	672	5246
672	672	5255
672	672	5264
672	672	5273
672	672	5281
672	672	5290
672	672	5298
672	672	5306
672	672	5314
672	672	5322
672	672	5331
672	672	5340
675	675	5348
675	675	5357
678	678	5366
691	691	5374
691	691	5382
709	709	5390
709	709	5399
721	721	5407
749	749	5415
764	764	5424
776	776	5432
790	790	5441
802	802	5449
815	815	5457
827	827	5466
839	839	5474
850	850	5482
861	861	5491
869	869	5500
878	878	5508
887	887	5517
895	895	5525
903	903	5534
910	910	5543
921	921	5551
921	921	5559
927	927	5567
935	935	5575
935	935	5583
940	940	5591
940	940	5599
942	942	5607
943	943	5616
943	943	5624
947	947	5632
947	947	5641
949	949	5649
959	959	5657
959	959	5665
965	965	5673
967	967	5681
967	967	5690
970	970	5698
970	970	5706
971	971	5715
971	971	5723
971	971	5731
971	971	5740
971	971	5748
971	971	5756
971	971	5764
971	971	5773
971	971	5781
971	971	5790
971	971	5799
971	971	5807
971	971	5815
971	971	5824
971	971	5832
971	971	5841
971	971	5849
971	971	5857
971	971	5865
971	971	5873
971	971	5881
971	971	5890
971	971	5899
971	971	5908
971	971	5916
971	971	5924
971	971	5933
971	971	5942
971	971	5950
971	971	5958
971	971	5966
971	971	5975
971	971	5984
971	971	5993
971	971	6001
971	971	6010
971	971	6018
971	971	6026
971	971	6034
971	971	6043
971	971	6051
971	971	6060
971	971	6068
971	971	6076
971	971	6084
971	971	6092
971	971	6100
971	971	6108
971	971	6116
971	971	6124
971	971	6133
971	971	6142
971	971	6150
971	971	6158
971	971	6166
971	971	6174
971	971	6183
971	971	6192
971	971	6200
971	971	6209
971	971	6217
971	971	6225
971	971	6234
971	971	6243
971	971	6252
971	971	6261
971	971	6270
971	971	6279
971	971	6287
971	971	6295
971	971	6303
971	971	6311
971	971	6320
971	971	6329
971	971	6338
971	971	6347
971	971	6355
971	971	6363
971	971	6372
971	971	6381
971	971	6390
971	971	6398
971	971	6406
971	971	6414
971	971	6422
971	971	6431
971	971	6440
971	971	6449
971	971	6457
971	971	6465
971	971	6473
971	971	6482
971	971	6491
971	971	6500
971	971	6509
971	971	6517
971	971	6526
971	971	6534
971	971	6542
971	971	6551
971	971	6560
971	971	6569
971	971	6578
971	971	6587
971	971	6595
971	971	6603
971	971	6611
971	971	6620
971	971	6629
971	971	6637
971	971	6645
971	971	6653
971	971	6661
971	971	6670
971	971	6680
971	971	6688
971	971	6697
971	971	6705
971	971	6714
971	971	6723
971	971	6731
971	971	6740
971	971	6748
971	971	6756
971	971	6764
971	971	6773
971	971	6782
971	971	6790
971	971	6798
971	971	6806
971	971	6814
971	971	6823
971	971	6832
971	971	6841
971	971	6850
971	971	6859
971	971	6867
971	971	6875
971	971	6884
971	971	6893
971	971	6902
971	971	6911
971	971	6920
971	971	6929
971	971	6937
971	971	6945
971	971	6954
971	971	6963
971	971	6972
971	971	6981
971	971	6990
971	971	7000
971	971	7008
971	971	7017
971	971	7025
971	971	7033
971	971	7041
971	971	7050
971	971	7059
971	971	7067
971	971	7075
971	971	7083
971	971	7092
971	971	7101
971	971	7110
971	971	7118
971	971	7126
971	971	7134
971	971	7143
971	971	7151
971	971	7160
971	971	7168
971	971	7176
971	971	7185
971	971	7193
971	971	7201
971	971	7210
971	971	7218
971	971	7226
971	971	7234
971	971	7243
971	971	7251
971	971	7259
971	971	7267
971	971	7275
971	971	7284
971	971	7293
971	971	7301
971	971	7310
971	971	7318
971	971	7326
971	971	7334
971	971	7343
971	971	7352
971	971	7361
971	971	7369
971	971	7378
971	971	7386
971	971	7394
971	971	7403
971	971	7412
971	971	7420
971	971	7429
971	971	7437
971	971	7445
971	971	7453
971	971	7461
971	971	7470
971	971	7478
971	971	7486
971	971	7495
971	971	7504
971	971	7512
971	971	7520
971	971	7528
971	971	7536
971	971	7544
971	971	7552
971	971	7560
971	971	7568
971	971	7576
971	971	7584
971	971	7593
971	971	7601
971	971	7610
971	971	7618
971	971	7626
971	971	7634
971	971	7643
971	971	7651
971	971	7660
971	971	7668
971	971	7676
971	971	7684
971	971	7693
971	971	7701
971	971	7710
971	971	7718
971	971	7726
971	971	7734
971	971	7743
971	971	7751
971	971	7760
971	971	7768
971	971	7776
971	971	7784
971	971	7792
971	971	7800
971	971	7808
971	971	7816
971	971	7824
971	971	7832
