Rect_no	EventType	Trigger	Height	Position	total_time_visible	 Visible_From	Entry_time_ms	Calculated_Entry_time	Time_on_target_ms	SD_outside_Target(px)	Mean_Inaccuracy(px_outside_target)	Exit_time(ms)	Percent_Time_On_Target(%)	Reaction_Time(ms)	time_Off_Target(ms)	 overshoot?	 overshoot_time	 undershoot?	 undershoot_time
0	B	0	40	10	60000	0.0	9103	9103.0	158	0	0.0	8563	0	0.0	0.0	True	1691	False	0.0
1	R	0	50	830	10000	8	1502	1494	156.0	0	0.0	0.0	0	1163	0.0	False	0.0	False	0.0
2	R	0	50	490	10000	0.0	3001	3001.0	157.0	0	0.0	2547	0	0.0	0.0	False	0.0	True	2892
3	R	0	30	675	10000	0.0	5466	5466.0	154.0	0	0.0	4698	0	0.0	0.0	True	4431	False	0.0
4	R	0	50	955	10000	0.0	6928	6928.0	152.0	0	0.0	6194	0	0.0	0.0	False	0.0	True	6451
5	R	0	50	403	10000	0.0	8418	8418.0	153.0	0	0.0	7759	0	0.0	0.0	False	0.0	True	7786
0	B	0	40	10	60000	0.0	19084	19084.0	152	0	0.0	18868	0	0.0	0.0	True	10794	False	0.0
1	R	0	50	830	10000	0.0	10642	10642.0	151.0	0	0.0	9252	0	9260	0.0	False	0.0	True	9414
2	R	0	50	490	10000	0.0	12598	12598.0	157.0	0	0.0	12081	0	0.0	0.0	False	0.0	True	11613
3	R	0	30	675	10000	0.0	14847	14847.0	157.0	0	0.0	14600	0	0.0	0.0	False	0.0	True	13579
4	R	0	50	955	10000	0.0	16793	16793.0	152.0	0	0.0	16047	0	0.0	0.0	False	0.0	True	16178
5	R	0	50	403	10000	0.0	18272	18272.0	155.0	0	0.0	17735	0	0.0	0.0	False	0.0	True	17744
0	B	0	40	10	60000	0.0	34383	34383.0	157	0	0.0	33393	0	0.0	0.0	True	21294	False	0.0
1	R	0	50	830	10000	0.0	21144	21144.0	151.0	0	0.0	19169	0	19161	0.0	False	0.0	True	19545
2	R	0	50	490	10000	0.0	25396	25396.0	152.0	0	0.0	24224	0	0.0	0.0	False	0.0	True	22430
3	R	0	30	675	10000	0.0	28545	28545.0	155.0	0	0.0	27397	0	0.0	0.0	False	0.0	True	27413
4	R	0	50	955	10000	0.0	30859	30859.0	151.0	0	0.0	29847	0	0.0	0.0	False	0.0	True	29896
5	R	0	50	403	10000	0.0	33250	33250.0	153.0	0	0.0	32379	0	0.0	0.0	False	0.0	True	32406
