Rect_no	Entry_time (s)	Time_on_target (s)	SD (px)	Inaccuracy (px)	Exit_time(s)
0	1.48799991608	0.243000030518	332.599328727	221.757142857	-0.372000217438
1	0	0	227.164502113	140.442857143	-4.40000009537
2	1.23799991608	0.055999994278	141.504209683	86.6388888889	-0.796000003815
3	1.07000017166	0.177000045776	284.104665967	203.985714286	-0.861999988556
4	1.1890001297	0.0479998588562	211.414613707	147.25	-0.855000019073
5	1.72000002861	0.161000013351	341.501322175	281.210526316	-0.163000106812
6	0.962000131607	0.0579998493195	189.697767661	117.694444444	-1.0759999752
7	2.03099989891	0.00200009346008	130.603245581	82.3157894737	-0.00200009346008
8	0	0	320.455390254	232.5	-4.07100009918
9	1.76999998093	0.266000032425	239.267960766	161.391891892	-0.000999927520752
10	1.10400009155	0.637000083923	362.909454908	230.256756757	-0.160000085831
11	0	0	197.430734846	121.722222222	-4.1779999733
12	1.14100003242	0.342000007629	126.109237608	69.3108108108	-0.00200009346008
13	2.00900006294	0.000999927520752	283.706861625	209.916666667	-0.000999927520752
14	0.774999856949	0.475000143051	201.073607569	123.987179487	-0.268000125885
15	1.85500001907	0.156999826431	322.033846787	602.763157895	-0.000999927520752
16	1.79499983788	0.0540001392365	192.102822784	145.175675676	-0.216000080109
17	1.33099985123	0.276999950409	116.866302464	75.6351351351	-0.335000038147
18	1.74699997902	0.286999940872	256.304879744	203.283783784	-0.0019998550415
19	0	0	0.0	547.5	0
