Rect_no	EventType	Trigger	Height	Position	total_time_visible	 Visible_From	Entry_time_ms	Calculated_Entry_time	Time_on_target_ms	SD_outside_Target(px)	Mean_Inaccuracy(px_outside_target)	Exit_time(ms)	Percent_Time_On_Target(%)	Reaction_Time(ms)	time_Off_Target(ms)	 overshoot?	 overshoot_time	 undershoot?	 undershoot_time
0	B	0	40	10	60000	0.0	9926	9926.0	155	0	0.0	8616	0	636	0.0	False	0.0	False	0.0
1	R	0	50	507	10000	8	8	0	153.0	0	0.0	0.0	0	0.0	0.0	False	0.0	False	0.0
2	R	0	50	1005	10000	0.0	2244	2244.0	153.0	0	0.0	1130	0	0.0	0.0	False	0.0	False	0.0
3	R	0	30	918	10000	0.0	4361	4361.0	159.0	0	0.0	3465	0	0.0	0.0	False	0.0	False	0.0
4	R	0	50	299	10000	0.0	6667	6667.0	155.0	0	0.0	6060	0	0.0	0.0	False	0.0	True	6254
5	R	0	50	668	10000	0.0	8514	8514.0	154.0	0	0.0	8026	0	0.0	0.0	True	8242	False	0.0
0	B	0	40	10	60000	0.0	20137	20137.0	152	0	0.0	19921	0	11383	0.0	False	0.0	True	11981
1	R	0	50	507	10000	0.0	10920	10920.0	154.0	0	0.0	10072	0	0.0	0.0	False	0.0	False	0.0
2	R	0	50	1005	10000	0.0	13184	13184.0	152.0	0	0.0	12138	0	0.0	0.0	False	0.0	False	0.0
3	R	0	30	918	10000	0.0	15559	15559.0	154.0	0	0.0	14456	0	0.0	0.0	False	0.0	False	0.0
4	R	0	50	299	10000	0.0	17565	17565.0	151.0	0	0.0	17053	0	0.0	0.0	False	0.0	False	0.0
5	R	0	50	668	10000	0.0	19113	19113.0	158.0	0	0.0	18431	0	0.0	0.0	False	0.0	False	0.0
0	B	0	40	10	60000	0.0	34167	34167.0	158	0	0.0	33899	0	0.0	0.0	False	0.0	False	0.0
1	R	0	50	507	10000	0.0	22091	22091.0	152.0	0	0.0	20229	0	20824	0.0	False	0.0	True	21333
2	R	0	50	1005	10000	0.0	25223	25223.0	156.0	0	0.0	23286	0	0.0	0.0	False	0.0	True	24557
3	R	0	30	918	10000	0.0	28849	28849.0	154.0	0	0.0	27925	0	0.0	0.0	True	28218	False	0.0
4	R	0	50	299	10000	0.0	31165	31165.0	157.0	0	0.0	30672	0	0.0	0.0	True	30911	False	0.0
5	R	0	50	668	10000	0.0	33090	33090.0	153.0	0	0.0	32483	0	0.0	0.0	True	32711	False	0.0
