Rect_no	Entry_time (s)	Time_on_target (s)	SD (px)	Inaccuracy (px)	Exit_time(s)
0	0	0	76.6508751853	94.4333333333	-2.02600002289
1	1.86800003052	0.0670001506805	292.463930912	323.758064516	-0.174999952316
2	0	0	326.882664983	242.466666667	-2.18600010872
3	1.30099987984	0.699000120163	197.693657971	144.775862069	-0.00200009346008
4	1.65299987793	0.206000089645	184.672566091	145.4	-0.218999862671
5	1.21300005913	0.348999977112	113.77642511	65.9137931034	-0.00299978256226
6	1.87300014496	0.129999876022	110.332326878	101.879310345	-0.0620000362396
7	0	0	260.759806463	252.7	-2.10299992561
8	1.32299995422	0.141000032425	275.396706619	189.948275862	-0.213000059128
9	2.02799987793	0.00300002098083	219.08201407	172.6	-0.00300002098083
10	1.04299998283	0.0620000362396	204.510714199	190.1	-1.01300001144
11	1.85800004005	0.0640001296997	308.748249857	299.467741935	-0.177000045776
12	1.40299987793	0.0700001716614	304.37698092	227.241935484	-0.609000205994
13	1.53599977493	0.47400021553	195.818502224	156.882352941	-0.00100016593933
14	0.835999965668	0.0820000171661	195.160515132	139.933333333	-1.17499995232
15	0.644999980927	0.282999992371	131.893903713	78.5909090909	-0.0639998912811
16	1.06999993324	0.128000020981	121.13920751	94.8548387097	-0.00100016593933
17	1.45599985123	0.0680000782013	269.771343703	193.982758621	-0.591000080109
18	0	0	268.097828331	182.7	-2.63499999046
19	1.39700007439	0.608999967575	205.756341876	138.0	-0.00200009346008
20	0	0	182.147321374	121.821428571	-2.03900003433
21	0	0	305.725490032	233.178571429	-4.07400012016
22	0.904000043869	0.455999851227	343.0868387	247.933333333	-0.211999893188
23	1.56700015068	0.425999879837	211.0169702	134.224137931	-0.00200009346008
24	0	0	188.916033038	170.5	-2.05200004578
25	0.721999883652	1.33800005913	117.968314333	73.224137931	-0.0770001411438
26	1.89399981499	0.0540001392365	103.373918818	83.25	-0.106000185013
27	0	0	262.661533028	232.759259259	-2.15900015831
28	1.24799990654	0.199000120163	268.960229833	254.155172414	-0.65499997139
29	1.72500014305	0.0750000476837	200.769676521	133.464285714	-0.300999879837
30	1.61500000954	0.161999940872	203.819145526	165.538461538	-0.226000070572
31	0.708999872208	0.132999897003	329.056538539	207.7	-1.11500000954
32	0	0	319.470326542	252.357142857	-3.11999988556
33	1.75300002098	0.0730001926422	235.683850798	168.5	-0.00300002098083
34	1.55599999428	0.134000062943	191.465969817	186.948275862	-0.140000104904
35	1.51600003242	0.514999866486	125.905698433	84.75	-0.00399994850159
36	1.22399997711	0.0710000991821	117.854209701	105.5	-0.840000152588
37	1.67699980736	0.206000089645	252.911438167	235.5	-0.0710000991821
38	1.15799999237	0.139999866486	285.510503002	206.086206897	-0.211999893188
39	0	0	0.0	504.5	0
