Rect_no	EventType	Trigger	Height	Position	total_time_visible	 Visible_From	Entry_time_ms	Calculated_Entry_time	Time_on_target_ms	SD_outside_Target(px)	Mean_Inaccuracy(px_outside_target)	Exit_time(ms)	Percent_Time_On_Target(%)	Reaction_Time(ms)	time_Off_Target(ms)	 overshoot?	 overshoot_time	 undershoot?	 undershoot_time
0	B	0	40	0	1000	0.0	10341	10341.0	153	0	0.0	9646	0	0.0	0.0	False	0.0	False	0.0
1	R	0	50	200	10000	9	1812	1803	156.0	0	0.0	757	0	604	0.0	False	0.0	False	0.0
2	R	0	50	500	10000	0.0	3780	3780.0	155.0	0	0.0	3498	0	0.0	0.0	False	0.0	False	0.0
3	R	0	30	300	10000	0.0	5903	5903.0	153.0	0	0.0	5726	0	0.0	0.0	False	0.0	False	0.0
4	R	0	50	400	10000	0.0	7458	7458.0	151.0	0	0.0	7321	0	0.0	0.0	False	0.0	False	0.0
5	R	0	50	700	10000	0.0	9563	9563.0	154.0	0	0.0	9295	0	0.0	0.0	False	0.0	False	0.0
0	B	0	40	0	1000	0.0	19237	19237.0	155	0	0.0	18395	0	0.0	0.0	True	18395	False	0.0
1	R	0	50	200	10000	0.0	11316	11316.0	156.0	0	0.0	10487	0	10478	0.0	False	0.0	False	0.0
2	R	0	50	500	10000	0.0	14461	14461.0	155.0	0	0.0	12217	0	0.0	0.0	False	0.0	False	0.0
3	R	0	30	300	10000	0.0	15969	15969.0	155.0	0	0.0	15466	0	0.0	0.0	False	0.0	False	0.0
4	R	0	50	400	10000	0.0	17120	17120.0	157.0	0	0.0	16802	0	0.0	0.0	False	0.0	False	0.0
5	R	0	50	700	10000	0.0	18246	18246.0	158.0	0	0.0	18011	0	0.0	0.0	False	0.0	False	0.0
0	B	0	40	0	1000	0.0	28113	28113.0	156	0	0.0	27181	0	0.0	0.0	False	0.0	False	0.0
1	R	0	50	200	10000	0.0	20854	20854.0	155.0	0	0.0	19383	0	20453	0.0	False	0.0	False	0.0
2	R	0	50	500	10000	0.0	23017	23017.0	152.0	0	0.0	22261	0	0.0	0.0	False	0.0	False	0.0
3	R	0	30	300	10000	0.0	24472	24472.0	154.0	0	0.0	24228	0	0.0	0.0	False	0.0	False	0.0
4	R	0	50	400	10000	0.0	25815	25815.0	155.0	0	0.0	25892	0	0.0	0.0	False	0.0	False	0.0
5	R	0	50	700	10000	0.0	27053	27053.0	156.0	0	0.0	26735	0	0.0	0.0	False	0.0	False	0.0
