Rect_no	EventType	Trigger	Height	Position	total_time_visible	 Visible_From	Entry_time_ms	Calculated_Entry_time	Time_on_target_ms	SD_outside_Target(px)	Mean_Inaccuracy(px_outside_target)	Exit_time(ms)	Percent_Time_On_Target(%)	Reaction_Time(ms)	time_Off_Target(ms)	 overshoot?	 overshoot_time	 undershoot?	 undershoot_time
0	B	0	100	1340	100	0.0	7490	7490.0	117	0	0.0	6840	0	0.0	0.0	False	0.0	False	0.0
1	R	0	80	790	10000	9	0.0	-9.0	0.0	0	0.0	0.0	0	351	0.0	False	0.0	True	668
2	R	0	80	40	10000	0.0	0.0	0.0	17.0	0	0.0	1536	0	0.0	0.0	False	0.0	True	1919
3	R	0	80	540	10000	0.0	3671	3671.0	133.0	0	0.0	0.0	0	0.0	0.0	False	0.0	True	3570
4	R	0	80	1040	10000	0.0	4821	4821.0	50.0	0	0.0	4838	0	0.0	0.0	False	0.0	False	0.0
5	R	0	50	290	10000	0.0	6590	6590.0	266.0	0	0.0	6072	0	0.0	0.0	False	0.0	False	0.0
0	B	0	100	1340	100	0.0	15138	15138.0	67	0	0.0	14421	0	0.0	0.0	False	0.0	False	0.0
1	R	0	80	790	10000	0.0	8316	8316.0	41.0	0	0.0	7582	0	7582	0.0	False	0.0	True	8232
2	R	0	80	40	10000	0.0	0.0	0.0	16.0	0	0.0	9099	0	0.0	0.0	False	0.0	True	9266
3	R	0	80	540	10000	0.0	11201	11201.0	67.0	0	0.0	11235	0	0.0	0.0	False	0.0	True	11051
4	R	0	80	1040	10000	0.0	12435	12435.0	50.0	0	0.0	12452	0	0.0	0.0	False	0.0	False	0.0
5	R	0	50	290	10000	0.0	14370	14370.0	116.0	0	0.0	14237	0	0.0	0.0	False	0.0	True	13887
