Rect_no	EventType	Trigger	Height	Position	total_time_visible	 Visible_From	Entry_time_ms	Calculated_Entry_time	Time_on_target_ms	SD_outside_Target(px)	Mean_Inaccuracy(px_outside_target)	Exit_time(ms)	Percent_Time_On_Target(%)	Reaction_Time(ms)	time_Off_Target(ms)	 overshoot?	 overshoot_time	 undershoot?	 undershoot_time
0	B	0	40	10	60000	0.0	8913	8913.0	151	0	0.0	8545	0	0.0	0.0	True	1593	False	0.0
1	R	0	50	839	10000	8	1226	1218	155.0	0	0.0	0.0	0	536	0.0	False	0.0	True	835
2	R	0	50	317	10000	0.0	3468	3468.0	157.0	0	0.0	2712	0	0.0	0.0	False	0.0	True	2455
3	R	0	30	741	10000	0.0	5131	5131.0	155.0	0	0.0	4354	0	0.0	0.0	False	0.0	True	4445
4	R	0	50	607	10000	0.0	6881	6881.0	157.0	0	0.0	6198	0	0.0	0.0	False	0.0	True	6265
5	R	0	50	247	10000	0.0	8399	8399.0	153.0	0	0.0	7855	0	0.0	0.0	False	0.0	True	7925
0	B	0	40	10	60000	0.0	18586	18586.0	151	0	0.0	18115	0	0.0	0.0	True	10190	False	0.0
1	R	0	50	839	10000	0.0	9907	9907.0	152.0	0	0.0	9055	0	9506	0.0	False	0.0	True	9625
2	R	0	50	317	10000	0.0	13185	13185.0	157.0	0	0.0	13259	0	0.0	0.0	False	0.0	True	11181
3	R	0	30	741	10000	0.0	14864	14864.0	152.0	0	0.0	14558	0	0.0	0.0	False	0.0	True	14071
4	R	0	50	607	10000	0.0	16736	16736.0	154.0	0	0.0	15999	0	0.0	0.0	False	0.0	True	16364
5	R	0	50	247	10000	0.0	17970	17970.0	154.0	0	0.0	17479	0	0.0	0.0	False	0.0	True	17633
0	B	0	40	10	60000	0.0	27912	27912.0	154	0	0.0	27245	0	0.0	0.0	True	20196	False	0.0
1	R	0	50	839	10000	0.0	19841	19841.0	153.0	0	0.0	18727	0	18719	0.0	False	0.0	True	19076
2	R	0	50	317	10000	0.0	22247	22247.0	154.0	0	0.0	21787	0	0.0	0.0	False	0.0	True	21316
3	R	0	30	741	10000	0.0	23809	23809.0	157.0	0	0.0	22983	0	0.0	0.0	False	0.0	True	23087
4	R	0	50	607	10000	0.0	25565	25565.0	156.0	0	0.0	24881	0	0.0	0.0	False	0.0	True	24982
5	R	0	50	247	10000	0.0	27237	27237.0	158.0	0	0.0	27026	0	0.0	0.0	False	0.0	True	26601
