Digital_Input	Screen_Position_Y_axis(px)	time(ms)
30	30	3993
30	30	4001
30	30	4010
30	30	4018
30	30	4026
30	30	4034
30	30	4042
30	30	4051
30	30	4059
30	30	4067
30	30	4075
30	30	4084
30	30	4092
30	30	4101
30	30	4109
30	30	4117
30	30	4125
30	30	4133
30	30	4141
30	30	4149
30	30	4158
30	30	4167
30	30	4176
30	30	4184
30	30	4192
30	30	4200
30	30	4208
30	30	4216
30	30	4224
30	30	4232
30	30	4240
30	30	4249
30	30	4257
30	30	4266
30	30	4274
30	30	4283
30	30	4292
30	30	4300
30	30	4308
30	30	4316
30	30	4325
30	30	4334
30	30	4342
30	30	4350
30	30	4359
30	30	4368
30	30	4377
30	30	4386
30	30	4395
30	30	4404
30	30	4412
30	30	4420
30	30	4429
30	30	4437
30	30	4446
30	30	4454
30	30	4463
30	30	4472
30	30	4481
30	30	4489
30	30	4498
30	30	4507
30	30	4516
30	30	4525
30	30	4534
30	30	4542
30	30	4550
30	30	4559
30	30	4568
30	30	4576
30	30	4585
30	30	4594
30	30	4603
30	30	4611
30	30	4619
30	30	4627
30	30	4636
30	30	4645
30	30	4654
30	30	4662
30	30	4670
30	30	4679
30	30	4688
30	30	4697
30	30	4706
30	30	4715
30	30	4723
30	30	4732
30	30	4741
30	30	4750
30	30	4759
30	30	4768
30	30	4777
30	30	4785
30	30	4794
30	30	4802
30	30	4810
30	30	4818
30	30	4827
30	30	4836
30	30	4845
30	30	4853
30	30	4862
30	30	4871
30	30	4879
30	30	4888
30	30	4896
30	30	4904
30	30	4912
30	30	4921
30	30	4930
30	30	4938
30	30	4947
30	30	4956
30	30	4965
30	30	4974
30	30	4983
30	30	4991
30	30	5000
30	30	5009
30	30	5018
30	30	5027
30	30	5035
30	30	5043
30	30	5051
30	30	5060
30	30	5068
30	30	5076
30	30	5085
30	30	5093
30	30	5102
30	30	5110
30	30	5119
30	30	5128
30	30	5136
30	30	5144
30	30	5154
30	30	5162
30	30	5171
30	30	5180
30	30	5188
30	30	5196
30	30	5205
30	30	5214
30	30	5223
30	30	5231
30	30	5240
30	30	5249
30	30	5257
30	30	5265
30	30	5273
30	30	5282
30	30	5291
30	30	5299
30	30	5308
30	30	5316
30	30	5325
30	30	5333
30	30	5342
30	30	5350
30	30	5358
30	30	5367
30	30	5375
30	30	5383
30	30	5391
30	30	5399
30	30	5407
30	30	5415
30	30	5424
30	30	5433
30	30	5441
30	30	5449
30	30	5457
30	30	5466
30	30	5475
30	30	5484
30	30	5492
30	30	5501
30	30	5510
30	30	5518
30	30	5527
30	30	5535
30	30	5543
30	30	5552
30	30	5560
30	30	5568
30	30	5576
30	30	5585
30	30	5593
30	30	5602
30	30	5611
30	30	5620
30	30	5629
30	30	5638
30	30	5646
30	30	5654
30	30	5662
30	30	5670
30	30	5679
30	30	5687
30	30	5695
30	30	5704
30	30	5712
30	30	5720
30	30	5728
30	30	5736
30	30	5744
30	30	5753
30	30	5762
30	30	5771
30	30	5780
30	30	5788
30	30	5796
30	30	5805
30	30	5813
30	30	5822
30	30	5831
30	30	5840
30	30	5848
30	30	5856
30	30	5864
30	30	5873
30	30	5882
30	30	5891
30	30	5900
30	30	5908
30	30	5916
30	30	5924
30	30	5932
30	30	5940
30	30	5949
30	30	5958
30	30	5966
30	30	5974
30	30	5984
30	30	5993
30	30	6002
30	30	6010
30	30	6018
30	30	6026
30	30	6035
30	30	6044
30	30	6052
30	30	6061
30	30	6070
30	30	6078
30	30	6087
30	30	6096
30	30	6105
30	30	6113
30	30	6122
30	30	6130
30	30	6139
30	30	6148
30	30	6156
30	30	6164
30	30	6172
30	30	6180
30	30	6189
30	30	6197
30	30	6205
30	30	6214
30	30	6223
30	30	6232
30	30	6241
30	30	6250
30	30	6259
30	30	6268
30	30	6277
30	30	6285
30	30	6294
30	30	6303
30	30	6312
30	30	6320
30	30	6328
30	30	6336
30	30	6345
30	30	6353
31	31	6361
37	37	6369
42	42	6377
48	48	6386
67	67	6395
76	76	6403
88	88	6411
127	127	6419
142	142	6427
195	195	6436
215	215	6444
241	241	6453
349	349	6461
349	349	6469
472	472	6478
509	509	6487
602	602	6495
633	633	6503
715	715	6511
738	738	6519
762	762	6528
831	831	6537
856	856	6545
877	877	6554
944	944	6562
966	966	6571
985	985	6580
1039	1039	6588
1053	1053	6597
1079	1079	6605
1079	1079	6614
1079	1079	6622
1079	1079	6631
1079	1079	6640
1079	1079	6648
1079	1079	6657
1079	1079	6666
1079	1079	6674
1079	1079	6683
1079	1079	6691
1079	1079	6699
1079	1079	6707
1079	1079	6715
1079	1079	6723
1079	1079	6731
1079	1079	6739
1079	1079	6747
1079	1079	6756
1079	1079	6764
1079	1079	6772
1079	1079	6781
1079	1079	6790
1079	1079	6799
1079	1079	6807
1079	1079	6815
1079	1079	6823
1077	1077	6831
1075	1075	6840
1068	1068	6849
1065	1065	6857
1058	1058	6866
1055	1055	6875
1053	1053	6884
1047	1047	6893
1045	1045	6902
1035	1035	6910
1033	1033	6918
1029	1029	6926
1027	1027	6934
1025	1025	6942
1021	1021	6950
1020	1020	6958
1017	1017	6966
1016	1016	6975
1015	1015	6984
1014	1014	6992
1013	1013	7000
1012	1012	7009
1011	1011	7017
1010	1010	7025
1010	1010	7034
1010	1010	7043
1009	1009	7052
1009	1009	7060
1009	1009	7068
1009	1009	7077
1009	1009	7086
1009	1009	7095
1009	1009	7103
1009	1009	7112
1009	1009	7121
1009	1009	7130
1009	1009	7139
1009	1009	7148
1009	1009	7156
1009	1009	7164
1009	1009	7172
1009	1009	7181
1009	1009	7189
1009	1009	7197
1009	1009	7205
1009	1009	7213
1009	1009	7222
1009	1009	7230
1009	1009	7239
1009	1009	7248
1009	1009	7257
1009	1009	7265
1009	1009	7273
1009	1009	7282
1009	1009	7290
1009	1009	7298
1009	1009	7307
1010	1010	7316
1010	1010	7325
1010	1010	7333
1012	1012	7342
1013	1013	7351
1013	1013	7359
1013	1013	7367
1014	1014	7375
1015	1015	7383
1015	1015	7391
1015	1015	7399
1015	1015	7408
1015	1015	7416
1015	1015	7425
1015	1015	7433
1015	1015	7441
1015	1015	7449
1015	1015	7458
1015	1015	7466
1015	1015	7475
1015	1015	7484
1015	1015	7493
1015	1015	7502
1015	1015	7510
1015	1015	7519
1015	1015	7528
1015	1015	7536
1015	1015	7544
1015	1015	7553
1015	1015	7561
1015	1015	7569
1015	1015	7578
1015	1015	7586
1015	1015	7595
1015	1015	7604
1015	1015	7612
1015	1015	7620
1015	1015	7629
1015	1015	7638
1015	1015	7646
1015	1015	7654
1015	1015	7662
1015	1015	7670
1015	1015	7679
1015	1015	7687
1015	1015	7696
1015	1015	7704
1015	1015	7713
1015	1015	7721
1015	1015	7729
1015	1015	7738
1015	1015	7747
1015	1015	7756
1015	1015	7765
1015	1015	7773
1015	1015	7781
1015	1015	7789
1015	1015	7798
1015	1015	7806
1015	1015	7814
1015	1015	7823
1015	1015	7831
1015	1015	7839
1015	1015	7847
1015	1015	7856
1015	1015	7864
1015	1015	7872
1015	1015	7880
1015	1015	7888
1015	1015	7897
1015	1015	7906
1015	1015	7914
1015	1015	7923
1015	1015	7931
1015	1015	7939
1015	1015	7948
1015	1015	7956
1015	1015	7965
1015	1015	7973
1015	1015	7982
1015	1015	7990
1015	1015	7998
1015	1015	8006
1015	1015	8014
1015	1015	8023
1015	1015	8031
1015	1015	8040
1015	1015	8048
1015	1015	8057
1015	1015	8066
1015	1015	8075
1015	1015	8084
1015	1015	8092
1015	1015	8100
1015	1015	8108
1015	1015	8116
1015	1015	8124
1015	1015	8132
1015	1015	8141
1015	1015	8149
1015	1015	8157
1015	1015	8165
1015	1015	8173
1015	1015	8181
1015	1015	8190
1015	1015	8199
1015	1015	8208
1015	1015	8217
1015	1015	8225
1015	1015	8234
1015	1015	8243
1015	1015	8252
1015	1015	8260
1015	1015	8268
1015	1015	8277
1015	1015	8286
1015	1015	8294
1015	1015	8302
1015	1015	8310
1015	1015	8319
1015	1015	8328
1015	1015	8336
1015	1015	8345
1015	1015	8353
1015	1015	8361
1015	1015	8369
1015	1015	8377
1015	1015	8386
1015	1015	8394
1015	1015	8403
1015	1015	8411
1015	1015	8419
1015	1015	8427
1015	1015	8435
1015	1015	8443
1015	1015	8451
1015	1015	8460
1015	1015	8468
1015	1015	8476
1015	1015	8485
1015	1015	8494
1015	1015	8503
1015	1015	8511
1015	1015	8520
1015	1015	8528
1015	1015	8536
1015	1015	8544
1015	1015	8553
1015	1015	8562
1015	1015	8570
1015	1015	8579
1015	1015	8588
1015	1015	8596
1015	1015	8604
1015	1015	8613
1015	1015	8621
1015	1015	8630
1015	1015	8639
1015	1015	8648
1015	1015	8657
1015	1015	8665
1015	1015	8674
1015	1015	8682
1015	1015	8691
1015	1015	8700
1015	1015	8709
1015	1015	8717
1015	1015	8725
1015	1015	8734
1015	1015	8742
1015	1015	8750
1015	1015	8759
1015	1015	8767
1015	1015	8776
1015	1015	8784
1015	1015	8792
1015	1015	8800
1015	1015	8809
1015	1015	8818
1015	1015	8826
1015	1015	8834
1015	1015	8842
1015	1015	8851
1015	1015	8859
1015	1015	8867
1015	1015	8875
1015	1015	8883
1015	1015	8892
1015	1015	8900
1015	1015	8908
1015	1015	8917
1015	1015	8926
1015	1015	8934
1015	1015	8943
1015	1015	8951
1015	1015	8959
1015	1015	8967
1015	1015	8975
1015	1015	8983
1015	1015	8991
1015	1015	9000
1015	1015	9008
1015	1015	9017
1015	1015	9025
1015	1015	9033
1015	1015	9041
1015	1015	9050
1015	1015	9058
1015	1015	9066
1015	1015	9074
1014	1014	9082
1014	1014	9090
1014	1014	9099
1013	1013	9108
1013	1013	9116
1013	1013	9124
1013	1013	9132
1013	1013	9141
1013	1013	9149
1012	1012	9158
1012	1012	9167
1012	1012	9176
1012	1012	9185
1012	1012	9194
1012	1012	9203
1012	1012	9211
1012	1012	9219
1012	1012	9228
1012	1012	9237
1012	1012	9246
1012	1012	9254
1012	1012	9262
1012	1012	9271
1012	1012	9279
1012	1012	9287
1012	1012	9295
1012	1012	9303
1012	1012	9312
1012	1012	9321
1012	1012	9330
1012	1012	9339
1012	1012	9348
1012	1012	9356
1012	1012	9364
1012	1012	9373
1010	1010	9381
1003	1003	9390
1000	1000	9399
992	992	9408
986	986	9416
979	979	9425
958	958	9433
947	947	9441
910	910	9450
894	894	9459
870	870	9468
806	806	9477
778	778	9485
671	671	9493
671	671	9501
639	639	9509
553	553	9518
493	493	9527
418	418	9536
395	395	9545
372	372	9554
317	317	9562
302	302	9570
268	268	9580
256	256	9589
245	245	9598
218	218	9606
205	205	9614
200	200	9623
196	196	9631
188	188	9639
185	185	9648
177	177	9658
175	175	9667
172	172	9676
165	165	9684
162	162	9692
159	159	9700
153	153	9709
150	150	9718
141	141	9726
138	138	9734
128	128	9742
124	124	9750
121	121	9758
112	112	9766
109	109	9774
104	104	9783
102	102	9792
101	101	9800
101	101	9808
101	101	9816
100	100	9824
100	100	9833
100	100	9842
99	99	9852
98	98	9861
97	97	9870
96	96	9879
95	95	9887
94	94	9896
93	93	9905
89	89	9914
87	87	9922
79	79	9930
75	75	9939
72	72	9948
61	61	9958
44	44	9966
40	40	9974
36	36	9982
26	26	9991
23	23	10000
19	19	10009
18	18	10018
16	16	10027
15	15	10036
15	15	10045
15	15	10054
15	15	10062
15	15	10070
15	15	10078
15	15	10087
15	15	10096
15	15	10104
15	15	10112
15	15	10121
15	15	10129
15	15	10137
15	15	10146
15	15	10154
15	15	10164
15	15	10172
15	15	10180
15	15	10189
15	15	10197
15	15	10206
15	15	10214
15	15	10222
15	15	10230
15	15	10238
15	15	10247
15	15	10255
15	15	10264
15	15	10272
15	15	10280
15	15	10288
15	15	10297
15	15	10305
15	15	10314
15	15	10322
15	15	10330
15	15	10338
15	15	10347
15	15	10355
15	15	10364
15	15	10373
15	15	10382
15	15	10391
15	15	10399
15	15	10407
15	15	10415
15	15	10423
15	15	10431
15	15	10439
15	15	10448
15	15	10456
15	15	10465
15	15	10473
15	15	10481
15	15	10489
15	15	10497
15	15	10506
15	15	10515
15	15	10524
15	15	10533
15	15	10542
15	15	10550
15	15	10558
15	15	10566
15	15	10575
15	15	10584
15	15	10592
15	15	10600
15	15	10608
15	15	10617
15	15	10625
15	15	10634
15	15	10642
15	15	10651
15	15	10659
15	15	10668
15	15	10676
15	15	10684
15	15	10692
15	15	10700
15	15	10708
15	15	10717
15	15	10726
15	15	10734
15	15	10742
15	15	10750
15	15	10758
15	15	10766
15	15	10775
15	15	10784
15	15	10792
15	15	10800
15	15	10809
15	15	10818
15	15	10827
15	15	10836
15	15	10844
15	15	10853
15	15	10862
15	15	10871
15	15	10880
15	15	10889
15	15	10898
15	15	10906
15	15	10915
15	15	10924
15	15	10933
15	15	10942
15	15	10950
15	15	10960
15	15	10969
15	15	10978
15	15	10987
15	15	10996
15	15	11005
15	15	11014
15	15	11022
15	15	11030
15	15	11038
15	15	11046
15	15	11055
15	15	11064
15	15	11072
15	15	11080
15	15	11088
15	15	11097
15	15	11105
15	15	11114
15	15	11122
15	15	11131
15	15	11140
15	15	11148
15	15	11157
15	15	11166
15	15	11174
15	15	11182
15	15	11190
15	15	11198
15	15	11206
15	15	11215
15	15	11224
15	15	11234
15	15	11243
15	15	11251
15	15	11259
15	15	11268
15	15	11277
15	15	11285
15	15	11294
15	15	11302
15	15	11311
15	15	11320
15	15	11328
15	15	11337
15	15	11346
15	15	11355
15	15	11363
15	15	11372
15	15	11380
15	15	11388
15	15	11396
15	15	11405
15	15	11414
15	15	11423
15	15	11432
15	15	11440
15	15	11448
15	15	11457
15	15	11465
15	15	11474
15	15	11482
15	15	11490
15	15	11498
15	15	11507
15	15	11515
15	15	11523
15	15	11532
15	15	11540
15	15	11548
15	15	11557
15	15	11566
15	15	11574
15	15	11582
15	15	11590
15	15	11598
15	15	11607
15	15	11616
15	15	11624
15	15	11633
15	15	11642
15	15	11650
15	15	11659
15	15	11667
15	15	11675
15	15	11684
15	15	11692
15	15	11700
15	15	11708
15	15	11716
15	15	11725
15	15	11734
15	15	11742
15	15	11751
15	15	11759
15	15	11767
15	15	11776
15	15	11785
15	15	11794
15	15	11803
15	15	11811
15	15	11819
15	15	11828
15	15	11836
15	15	11845
15	15	11854
15	15	11862
15	15	11870
15	15	11878
15	15	11887
15	15	11896
16	16	11904
16	16	11912
17	17	11920
18	18	11929
19	19	11938
19	19	11946
21	21	11955
22	22	11964
23	23	11973
24	24	11982
26	26	11990
26	26	11999
27	27	12008
27	27	12016
28	28	12024
28	28	12032
29	29	12040
29	29	12048
30	30	12057
30	30	12066
31	31	12074
31	31	12082
31	31	12091
32	32	12100
32	32	12108
32	32	12116
33	33	12124
34	34	12133
34	34	12142
35	35	12150
37	37	12158
37	37	12166
37	37	12174
39	39	12183
40	40	12191
42	42	12199
43	43	12207
44	44	12216
46	46	12224
47	47	12233
48	48	12242
49	49	12250
49	49	12258
50	50	12267
51	51	12275
51	51	12284
52	52	12294
53	53	12303
56	56	12312
57	57	12320
63	63	12329
68	68	12337
73	73	12346
85	85	12354
99	99	12363
106	106	12371
113	113	12379
136	136	12387
144	144	12396
169	169	12404
179	179	12412
187	187	12420
210	210	12428
218	218	12437
228	228	12446
257	257	12455
276	276	12464
282	282	12472
288	288	12481
300	300	12490
304	304	12499
314	314	12508
317	317	12516
321	321	12525
332	332	12534
334	334	12542
339	339	12551
339	339	12559
341	341	12568
344	344	12577
346	346	12585
349	349	12595
351	351	12604
353	353	12613
354	354	12621
354	354	12630
354	354	12638
354	354	12647
354	354	12656
354	354	12665
354	354	12674
354	354	12682
354	354	12691
354	354	12699
354	354	12708
354	354	12717
354	354	12725
354	354	12734
354	354	12743
354	354	12752
354	354	12760
354	354	12769
354	354	12777
354	354	12785
354	354	12794
354	354	12802
354	354	12810
354	354	12818
354	354	12827
354	354	12836
354	354	12844
354	354	12852
354	354	12860
354	354	12869
354	354	12878
354	354	12887
354	354	12895
354	354	12903
354	354	12912
354	354	12920
354	354	12928
354	354	12936
354	354	12945
354	354	12953
354	354	12961
354	354	12970
354	354	12979
354	354	12987
354	354	12995
354	354	13004
354	354	13012
354	354	13020
354	354	13028
354	354	13036
354	354	13044
354	354	13053
354	354	13061
354	354	13069
354	354	13078
354	354	13086
354	354	13094
354	354	13103
354	354	13112
354	354	13121
354	354	13130
354	354	13138
354	354	13147
354	354	13156
354	354	13165
354	354	13174
354	354	13182
354	354	13191
354	354	13200
354	354	13209
354	354	13217
354	354	13225
354	354	13233
354	354	13241
354	354	13250
354	354	13259
354	354	13267
354	354	13276
354	354	13284
354	354	13292
354	354	13300
354	354	13309
354	354	13318
354	354	13326
354	354	13334
354	354	13342
354	354	13350
354	354	13358
354	354	13366
354	354	13375
354	354	13383
354	354	13391
354	354	13400
354	354	13409
354	354	13418
354	354	13426
354	354	13434
354	354	13442
354	354	13451
354	354	13459
354	354	13468
354	354	13476
354	354	13485
354	354	13494
354	354	13503
354	354	13512
354	354	13521
354	354	13529
354	354	13537
354	354	13546
354	354	13555
354	354	13564
354	354	13573
354	354	13582
354	354	13591
354	354	13600
354	354	13609
