Rect_no	Entry_time (s)	Time_on_target (s)	SD (px)	Inaccuracy (px)	Exit_time(s)
0	0.712999820709	0.0700001716614	369.826954424	258.568965517	-1.33800005913
1	1.22799992561	0.663000106812	222.450288372	129.396551724	-0.220999956131
2	0.799000024796	0.439999818802	110.755591373	55.6428571429	-0.0019998550415
3	1.33899998665	0.0680000782013	137.470161069	91.4310344828	-0.694999933243
4	1.95899987221	0.0629999637604	123.25027624	105.306451613	-0.0650000572205
5	1.43299984932	0.624000072479	26.665994358	20.8571428571	-0.00399994850159
6	1.9279999733	0.0720000267029	214.651648857	134.5	-0.00300002098083
7	1.42900013924	0.0909998416901	179.042803385	127.884615385	-0.630999803543
8	1.882999897	0.0730001926422	147.398719984	96.7857142857	-0.149000167847
9	0	0	266.72229118	215.785714286	-4.19600009918
10	0	0	339.502432665	298.892857143	-8.2460000515
11	1.12599992752	0.205000162125	186.539371125	113.948275862	-0.750999927521
12	0	0	40.7479027882	29.3214285714	-4.86100006104
13	0	0	253.038864785	212.714285714	-8.90299987793
14	1.14499998093	0.0789999961853	189.020794835	120.189655172	-0.904000043869
15	1.24699997902	0.137999773026	308.396412007	195.142857143	-0.350999832153
16	1.08000016212	0.0650000572205	197.361360622	134.166666667	-0.973999977112
17	0.467000007629	0.0920000076294	99.6690958593	58.3148148148	-0.00300002098083
18	0	0	128.581745052	92.3965517241	-4.07899999619
19	0	0	0.0	489.5	0
