Rect_no	EventType	Trigger	Height	Position	total_time_visible	 Visible_From	Entry_time_ms	Calculated_Entry_time	Time_on_target_ms	SD_outside_Target(px)	Mean_Inaccuracy(px_outside_target)	Exit_time(ms)	Percent_Time_On_Target(%)	Reaction_Time(ms)	time_Off_Target(ms)	 overshoot?	 overshoot_time	 undershoot?	 undershoot_time
0	B	0	40	10	60000	0.0	10449	10449.0	151	0	0.0	10223	0	0.0	0.0	True	2213	False	0.0
1	R	0	50	472	10000	9	1879	1870	155.0	0	0.0	0.0	0	692	0.0	True	1418	False	0.0
2	R	0	50	278	10000	0.0	3711	3711.0	155.0	0	0.0	3295	0	0.0	0.0	True	3448	False	0.0
3	R	0	30	993	10000	0.0	5431	5431.0	157.0	0	0.0	4340	0	0.0	0.0	False	0.0	False	0.0
4	R	0	50	692	10000	0.0	7150	7150.0	157.0	0	0.0	6414	0	0.0	0.0	False	0.0	True	6557
5	R	0	50	897	10000	0.0	9393	9393.0	152.0	0	0.0	8516	0	0.0	0.0	False	0.0	False	0.0
0	B	0	40	10	60000	0.0	19736	19736.0	156	0	0.0	19519	0	11355	0.0	True	11457	False	0.0
1	R	0	50	472	10000	0.0	0.0	0.0	158.0	0	0.0	0.0	0	0.0	0.0	False	0.0	False	0.0
2	R	0	50	278	10000	0.0	12471	12471.0	153.0	0	0.0	11935	0	0.0	0.0	False	0.0	True	12230
3	R	0	30	993	10000	0.0	14243	14243.0	154.0	0	0.0	13285	0	0.0	0.0	False	0.0	True	13372
4	R	0	50	692	10000	0.0	16366	16366.0	152.0	0	0.0	15601	0	0.0	0.0	False	0.0	True	15626
5	R	0	50	897	10000	0.0	18831	18831.0	157.0	0	0.0	18269	0	0.0	0.0	False	0.0	True	17651
0	B	0	40	10	60000	0.0	30626	30626.0	151	0	0.0	29642	0	0.0	0.0	True	20950	False	0.0
1	R	0	50	472	10000	0.0	20587	20587.0	151.0	0	0.0	19840	0	19831	0.0	False	0.0	False	0.0
2	R	0	50	278	10000	0.0	23181	23181.0	155.0	0	0.0	22252	0	0.0	0.0	True	22951	False	0.0
3	R	0	30	993	10000	0.0	25037	25037.0	151.0	0	0.0	24054	0	0.0	0.0	False	0.0	True	24214
4	R	0	50	692	10000	0.0	27576	27576.0	153.0	0	0.0	27712	0	0.0	0.0	False	0.0	True	26644
5	R	0	50	897	10000	0.0	29497	29497.0	153.0	0	0.0	28818	0	0.0	0.0	False	0.0	True	28886
