Digital_Input	Screen_Position_Y_axis(px)	time(ms)
1439	1439	8
1439	1439	16
1439	1439	25
1439	1439	33
1439	1439	42
1439	1439	50
1439	1439	58
1439	1439	66
1439	1439	74
1439	1439	82
1439	1439	90
1439	1439	98
1439	1439	106
1439	1439	115
1439	1439	123
1439	1439	132
1439	1439	140
1439	1439	148
1439	1439	156
1439	1439	164
1439	1439	172
1439	1439	180
1439	1439	189
1439	1439	197
1439	1439	206
1439	1439	215
1439	1439	223
1439	1439	232
1439	1439	240
1439	1439	249
1439	1439	257
1439	1439	265
1439	1439	273
1439	1439	282
1439	1439	290
1439	1439	299
1439	1439	307
1439	1439	315
1439	1439	323
1439	1439	331
1432	1432	339
1432	1432	348
1397	1397	357
1362	1362	365
1312	1312	373
1266	1266	382
1209	1209	390
1152	1152	398
1098	1098	407
1055	1055	415
1027	1027	423
1016	1016	432
1012	1012	440
1012	1012	448
1012	1012	457
1012	1012	465
1012	1012	474
1012	1012	482
1012	1012	490
1012	1012	498
1012	1012	506
1012	1012	514
1012	1012	522
1012	1012	530
1012	1012	538
1012	1012	546
1012	1012	555
1012	1012	563
1012	1012	572
1012	1012	581
1012	1012	590
1012	1012	598
1012	1012	607
1012	1012	615
1012	1012	624
1012	1012	632
1012	1012	640
1012	1012	648
1012	1012	657
1012	1012	665
1012	1012	673
1012	1012	682
1012	1012	690
1012	1012	699
1012	1012	707
1012	1012	715
1012	1012	723
1012	1012	731
1012	1012	739
1012	1012	747
1012	1012	755
1012	1012	763
1012	1012	772
1012	1012	781
1012	1012	790
1012	1012	798
1012	1012	806
1012	1012	814
1012	1012	822
1012	1012	830
1012	1012	838
1012	1012	846
1012	1012	855
1012	1012	863
1012	1012	872
1012	1012	880
1012	1012	889
1012	1012	897
1012	1012	905
1012	1012	914
1012	1012	922
1012	1012	930
1012	1012	938
1012	1012	946
1012	1012	955
1012	1012	964
1012	1012	972
1012	1012	981
1012	1012	989
1012	1012	997
1012	1012	1006
1012	1012	1015
1012	1012	1024
1012	1012	1032
1012	1012	1040
1012	1012	1048
1012	1012	1057
1012	1012	1065
1012	1012	1074
1012	1012	1083
1012	1012	1092
1012	1012	1101
1012	1012	1110
1012	1012	1119
1012	1012	1127
1012	1012	1135
1012	1012	1143
1012	1012	1151
1012	1012	1159
1012	1012	1168
1012	1012	1176
1012	1012	1184
1012	1012	1192
1012	1012	1200
1012	1012	1208
1012	1012	1216
1012	1012	1225
1012	1012	1233
1012	1012	1242
1012	1012	1250
1012	1012	1258
1012	1012	1266
1012	1012	1274
1012	1012	1282
1012	1012	1292
1012	1012	1301
1012	1012	1310
1012	1012	1318
1012	1012	1326
1012	1012	1334
1012	1012	1342
1012	1012	1350
1012	1012	1359
1012	1012	1368
1012	1012	1376
1012	1012	1384
1012	1012	1392
1012	1012	1401
1012	1012	1409
1012	1012	1417
1012	1012	1425
1012	1012	1433
1012	1012	1442
1012	1012	1450
1012	1012	1458
1012	1012	1466
1012	1012	1474
1012	1012	1482
1012	1012	1490
1012	1012	1498
1012	1012	1506
1012	1012	1514
1012	1012	1522
1012	1012	1530
1012	1012	1538
1012	1012	1546
1012	1012	1555
1012	1012	1564
1012	1012	1572
1012	1012	1580
1012	1012	1588
1012	1012	1596
1012	1012	1605
1012	1012	1613
1012	1012	1622
1012	1012	1630
1012	1012	1639
1012	1012	1648
1012	1012	1656
1012	1012	1665
1012	1012	1673
1012	1012	1682
1012	1012	1690
1012	1012	1698
1012	1012	1706
1012	1012	1714
1012	1012	1722
1012	1012	1730
1012	1012	1738
1012	1012	1746
1012	1012	1755
1012	1012	1763
1012	1012	1772
1012	1012	1780
1012	1012	1789
1012	1012	1798
1012	1012	1806
1012	1012	1815
1012	1012	1824
1012	1012	1833
1012	1012	1841
1012	1012	1849
1012	1012	1857
1012	1012	1865
1012	1012	1874
1012	1012	1882
1012	1012	1890
1012	1012	1898
1012	1012	1906
1012	1012	1915
1012	1012	1923
1012	1012	1931
1012	1012	1940
1012	1012	1949
1012	1012	1957
1012	1012	1965
1012	1012	1973
1012	1012	1982
1012	1012	1990
1012	1012	1998
1012	1012	2006
1012	1012	2014
1012	1012	2023
1012	1012	2032
1012	1012	2040
1012	1012	2048
1012	1012	2056
1012	1012	2065
1012	1012	2074
1012	1012	2083
1012	1012	2092
1012	1012	2101
1012	1012	2109
1012	1012	2117
1012	1012	2126
1012	1012	2135
1012	1012	2143
1012	1012	2152
1012	1012	2160
1012	1012	2168
1012	1012	2177
1012	1012	2185
1012	1012	2193
1012	1012	2201
1012	1012	2210
1012	1012	2218
1012	1012	2226
1012	1012	2234
1012	1012	2242
1012	1012	2250
1012	1012	2258
1012	1012	2266
1012	1012	2275
1012	1012	2284
1012	1012	2293
1012	1012	2302
1012	1012	2310
1012	1012	2318
1012	1012	2326
1012	1012	2335
1012	1012	2343
1012	1012	2352
1012	1012	2361
1012	1012	2369
1012	1012	2377
1012	1012	2385
1012	1012	2394
1012	1012	2402
1012	1012	2410
1012	1012	2418
1012	1012	2427
1012	1012	2435
1012	1012	2443
1012	1012	2452
1012	1012	2460
1012	1012	2468
1012	1012	2476
1012	1012	2484
1012	1012	2492
1012	1012	2500
1012	1012	2509
1012	1012	2518
1012	1012	2526
1012	1012	2534
1012	1012	2542
1012	1012	2550
1012	1012	2558
1012	1012	2566
1012	1012	2574
1012	1012	2582
1012	1012	2590
1012	1012	2598
1012	1012	2607
1012	1012	2615
1012	1012	2624
1012	1012	2632
1012	1012	2640
1012	1012	2648
1012	1012	2656
1012	1012	2664
1012	1012	2672
1012	1012	2680
1012	1012	2688
1012	1012	2697
1012	1012	2705
1012	1012	2713
1012	1012	2721
1012	1012	2730
1012	1012	2738
1012	1012	2747
1012	1012	2756
1012	1012	2764
1012	1012	2772
1012	1012	2780
1012	1012	2788
1012	1012	2797
1012	1012	2805
1012	1012	2814
1012	1012	2822
1012	1012	2830
1012	1012	2839
1012	1012	2848
1012	1012	2856
1012	1012	2864
1012	1012	2872
1012	1012	2880
1012	1012	2888
1012	1012	2897
1012	1012	2905
1012	1012	2914
1012	1012	2922
1012	1012	2930
1012	1012	2938
1012	1012	2946
1012	1012	2955
1012	1012	2964
1012	1012	2972
1012	1012	2980
1012	1012	2989
1012	1012	2998
1012	1012	3006
1012	1012	3015
1012	1012	3023
1012	1012	3031
1012	1012	3039
1012	1012	3048
1012	1012	3056
1012	1012	3065
1012	1012	3073
1012	1012	3082
1012	1012	3090
1012	1012	3098
1012	1012	3106
1012	1012	3115
1012	1012	3123
1012	1012	3131
1012	1012	3139
1012	1012	3148
1012	1012	3156
1012	1012	3165
1012	1012	3174
1012	1012	3184
1012	1012	3192
1012	1012	3200
1012	1012	3208
1012	1012	3216
1012	1012	3224
1012	1012	3232
1012	1012	3240
1012	1012	3248
1012	1012	3257
1012	1012	3265
1012	1012	3273
1012	1012	3282
1012	1012	3290
1012	1012	3298
1012	1012	3307
1012	1012	3315
1012	1012	3323
1012	1012	3332
1012	1012	3340
1012	1012	3348
1012	1012	3356
1012	1012	3365
1012	1012	3373
1012	1012	3382
1012	1012	3390
1012	1012	3398
1012	1012	3407
1012	1012	3415
1012	1012	3423
1012	1012	3432
1012	1012	3440
1012	1012	3448
1012	1012	3456
1012	1012	3464
1012	1012	3473
1012	1012	3482
1012	1012	3490
1012	1012	3498
1012	1012	3507
1012	1012	3515
1012	1012	3523
1012	1012	3532
1012	1012	3540
1012	1012	3548
1012	1012	3556
1012	1012	3565
1012	1012	3573
1012	1012	3581
1012	1012	3589
1012	1012	3598
1012	1012	3607
1012	1012	3615
1012	1012	3623
1012	1012	3632
1012	1012	3640
1012	1012	3648
1012	1012	3657
1012	1012	3665
1012	1012	3674
1012	1012	3683
1012	1012	3692
1012	1012	3700
1012	1012	3708
1012	1012	3716
1012	1012	3725
1012	1012	3733
1012	1012	3742
1012	1012	3751
1012	1012	3759
1012	1012	3767
1012	1012	3775
1012	1012	3784
1012	1012	3792
1012	1012	3800
1012	1012	3808
1012	1012	3816
1012	1012	3825
1012	1012	3834
1012	1012	3843
1012	1012	3852
1012	1012	3860
1012	1012	3868
1012	1012	3877
1012	1012	3886
1012	1012	3895
1012	1012	3903
1012	1012	3912
1012	1012	3920
1012	1012	3929
1012	1012	3937
1012	1012	3945
1012	1012	3953
1012	1012	3962
1012	1012	3970
1012	1012	3979
1012	1012	3987
1012	1012	3995
1012	1012	4003
1012	1012	4012
1012	1012	4020
1012	1012	4028
1012	1012	4037
1012	1012	4045
1012	1012	4053
1012	1012	4062
1012	1012	4070
1012	1012	4078
1012	1012	4087
1012	1012	4096
1012	1012	4105
1012	1012	4113
1012	1012	4121
1012	1012	4129
1012	1012	4138
1012	1012	4146
1012	1012	4155
1012	1012	4163
1012	1012	4172
1012	1012	4181
1012	1012	4189
1012	1012	4197
1012	1012	4205
1012	1012	4213
1012	1012	4221
1012	1012	4229
1012	1012	4238
1012	1012	4246
1012	1012	4255
1012	1012	4264
1012	1012	4272
1012	1012	4280
1012	1012	4288
1012	1012	4296
1012	1012	4305
1012	1012	4313
1012	1012	4322
1012	1012	4330
1012	1012	4338
1012	1012	4347
1012	1012	4355
1012	1012	4363
1012	1012	4371
1012	1012	4379
1012	1012	4387
1012	1012	4395
1012	1012	4403
1012	1012	4412
1012	1012	4420
1012	1012	4428
1012	1012	4437
1012	1012	4445
1012	1012	4453
1012	1012	4462
1012	1012	4471
1012	1012	4479
1012	1012	4487
1012	1012	4495
1012	1012	4504
1012	1012	4513
1012	1012	4522
1012	1012	4532
1012	1012	4540
1012	1012	4548
1012	1012	4556
1012	1012	4565
1012	1012	4574
1012	1012	4584
1012	1012	4593
1012	1012	4602
1012	1012	4610
1012	1012	4618
1012	1012	4627
1012	1012	4635
1012	1012	4643
1012	1012	4652
