Digital_Input	Screen_Position_Y_axis(px)	time(ms)
583	583	9
583	583	17
583	583	25
583	583	34
583	583	43
583	583	52
583	583	61
583	583	70
583	583	78
583	583	87
583	583	96
583	583	105
583	583	113
583	583	122
583	583	130
583	583	139
583	583	147
583	583	155
583	583	164
583	583	173
583	583	182
583	583	190
583	583	199
583	583	208
583	583	217
583	583	225
583	583	234
583	583	243
583	583	252
583	583	261
583	583	269
583	583	278
583	583	286
583	583	294
583	583	303
583	583	311
583	583	320
583	583	328
583	583	337
583	583	345
583	583	353
583	583	361
583	583	370
583	583	379
583	583	388
583	583	396
583	583	404
583	583	413
583	583	422
583	583	431
583	583	440
583	583	448
583	583	456
583	583	464
583	583	472
583	583	480
583	583	488
583	583	497
583	583	505
583	583	514
583	583	522
583	583	531
583	583	540
583	583	548
583	583	556
583	583	565
583	583	573
583	583	582
583	583	590
583	583	598
583	583	607
583	583	616
583	583	624
583	583	633
583	583	642
583	583	651
583	583	660
583	583	669
583	583	677
583	583	686
583	583	695
583	583	704
586	586	713
588	588	722
595	595	730
597	597	738
605	605	746
607	607	754
611	611	762
621	621	771
623	623	779
630	630	788
633	633	796
636	636	805
642	642	813
644	644	822
646	646	830
650	650	839
652	652	848
653	653	856
653	653	865
654	654	873
654	654	882
654	654	890
654	654	898
654	654	906
654	654	915
654	654	924
654	654	933
654	654	941
654	654	949
654	654	957
654	654	965
654	654	974
654	654	982
654	654	990
654	654	998
654	654	1006
654	654	1014
654	654	1022
654	654	1031
654	654	1039
654	654	1047
654	654	1055
654	654	1064
654	654	1073
654	654	1082
654	654	1090
654	654	1098
654	654	1106
654	654	1115
654	654	1123
654	654	1131
654	654	1140
654	654	1149
654	654	1158
654	654	1167
654	654	1175
654	654	1183
654	654	1192
654	654	1200
654	654	1208
654	654	1217
654	654	1226
654	654	1235
654	654	1244
654	654	1253
654	654	1262
654	654	1271
654	654	1279
654	654	1287
654	654	1295
654	654	1303
654	654	1311
654	654	1319
654	654	1328
654	654	1337
649	649	1345
644	644	1353
636	636	1361
632	632	1370
627	627	1379
617	617	1388
611	611	1397
597	597	1406
590	590	1415
561	561	1424
553	553	1432
545	545	1441
520	520	1450
511	511	1459
485	485	1468
473	473	1476
463	463	1485
435	435	1494
425	425	1502
414	414	1511
375	375	1519
349	349	1528
340	340	1537
330	330	1545
304	304	1553
295	295	1561
275	275	1569
265	265	1578
257	257	1586
239	239	1594
231	231	1603
224	224	1612
206	206	1621
200	200	1630
181	181	1638
168	168	1647
152	152	1655
145	145	1663
129	129	1672
123	123	1681
117	117	1690
103	103	1699
99	99	1708
89	89	1716
86	86	1724
83	83	1732
81	81	1740
81	81	1749
80	80	1758
79	79	1767
78	78	1776
77	77	1785
77	77	1793
75	75	1802
73	73	1811
70	70	1819
68	68	1828
66	66	1837
60	60	1846
58	58	1854
54	54	1862
52	52	1870
51	51	1879
46	46	1888
45	45	1896
41	41	1904
39	39	1913
35	35	1922
32	32	1931
31	31	1940
28	28	1948
27	27	1956
26	26	1964
26	26	1972
25	25	1981
25	25	1989
24	24	1997
24	24	2005
23	23	2013
23	23	2021
22	22	2029
22	22	2038
21	21	2047
21	21	2056
21	21	2065
21	21	2073
21	21	2082
21	21	2091
21	21	2100
21	21	2109
21	21	2118
21	21	2127
21	21	2135
21	21	2143
21	21	2152
21	21	2161
21	21	2169
21	21	2178
21	21	2187
22	22	2195
24	24	2204
25	25	2212
29	29	2221
31	31	2229
36	36	2238
37	37	2246
42	42	2254
42	42	2262
47	47	2270
47	47	2278
50	50	2286
50	50	2294
55	55	2302
58	58	2311
69	69	2319
73	73	2328
77	77	2337
88	88	2345
92	92	2354
99	99	2362
101	101	2370
103	103	2379
107	107	2387
109	109	2396
113	113	2405
114	114	2414
119	119	2422
119	119	2431
125	125	2439
129	129	2447
132	132	2455
138	138	2463
141	141	2472
144	144	2480
151	151	2488
154	154	2497
159	159	2505
162	162	2514
164	164	2523
170	170	2531
173	173	2540
181	181	2548
186	186	2556
190	190	2564
201	201	2572
205	205	2581
210	210	2589
233	233	2597
246	246	2605
251	251	2613
256	256	2622
269	269	2631
289	289	2639
294	294	2648
301	301	2657
317	317	2666
324	324	2675
340	340	2684
347	347	2692
355	355	2701
373	373	2710
380	380	2719
402	402	2727
408	408	2736
425	425	2745
432	432	2754
439	439	2763
457	457	2771
464	464	2780
484	484	2788
492	492	2797
500	500	2805
518	518	2814
525	525	2822
533	533	2831
559	559	2840
579	579	2848
586	586	2857
593	593	2866
609	609	2875
617	617	2884
625	625	2893
645	645	2902
653	653	2911
681	681	2920
689	689	2928
714	714	2936
723	723	2944
747	747	2952
756	756	2960
766	766	2969
786	786	2978
794	794	2986
801	801	2995
815	815	3004
822	822	3012
834	834	3021
839	839	3029
842	842	3038
850	850	3046
854	854	3054
854	854	3063
858	858	3071
859	859	3079
860	860	3088
863	863	3096
864	864	3104
864	864	3112
867	867	3120
867	867	3128
870	870	3136
871	871	3144
873	873	3152
877	877	3161
878	878	3170
880	880	3178
884	884	3186
886	886	3194
891	891	3202
893	893	3211
896	896	3220
903	903	3229
905	905	3238
913	913	3247
918	918	3256
923	923	3265
925	925	3273
926	926	3281
928	928	3290
930	930	3299
931	931	3307
932	932	3315
934	934	3324
936	936	3332
938	938	3340
940	940	3349
942	942	3358
942	942	3367
948	948	3376
949	949	3385
