Rect_no	EventType	Trigger	Height	Position	total_time_visible	 Visible_From	Entry_time_ms	Calculated_Entry_time	Time_on_target_ms	SD_outside_Target(px)	Mean_Inaccuracy(px_outside_target)	Exit_time(ms)	Percent_Time_On_Target(%)	Reaction_Time(ms)	time_Off_Target(ms)	 overshoot?	 overshoot_time	 undershoot?	 undershoot_time
0	B	0	40	10	60000	0.0	12522	12522.0	151	0	0.0	12280	0	0.0	0.0	True	1740	False	0.0
1	R	0	50	637	10000	9	813	804	152.0	0	0.0	0.0	0	722	0.0	False	0.0	False	0.0
2	R	0	50	978	10000	0.0	4018	4018.0	156.0	0	0.0	2038	0	0.0	0.0	False	0.0	True	2047
3	R	0	30	739	10000	0.0	7039	7039.0	155.0	0	0.0	6330	0	0.0	0.0	False	0.0	True	5397
4	R	0	50	180	10000	0.0	9920	9920.0	156.0	0	0.0	8693	0	0.0	0.0	True	9351	False	0.0
5	R	0	50	295	10000	0.0	11810	11810.0	159.0	0	0.0	0.0	0	0.0	0.0	False	0.0	True	10781
0	B	0	40	10	60000	0.0	24666	24666.0	153	0	0.0	24092	0	0.0	0.0	True	14746	False	0.0
1	R	0	50	637	10000	0.0	14681	14681.0	151.0	0	0.0	14518	0	12630	0.0	False	0.0	True	12673
2	R	0	50	978	10000	0.0	16696	16696.0	154.0	0	0.0	15817	0	0.0	0.0	False	0.0	True	16471
3	R	0	30	739	10000	0.0	19806	19806.0	152.0	0	0.0	19064	0	0.0	0.0	False	0.0	True	19105
4	R	0	50	180	10000	0.0	22428	22428.0	155.0	0	0.0	21764	0	0.0	0.0	False	0.0	True	21815
5	R	0	50	295	10000	0.0	23990	23990.0	151.0	0	0.0	23379	0	0.0	0.0	False	0.0	True	23258
0	B	0	40	10	60000	0.0	34368	34368.0	155	0	0.0	33814	0	0.0	0.0	True	26042	False	0.0
1	R	0	50	637	10000	0.0	25618	25618.0	159.0	0	0.0	24810	0	25175	0.0	False	0.0	True	25345
2	R	0	50	978	10000	0.0	27431	27431.0	151.0	0	0.0	26355	0	0.0	0.0	False	0.0	True	26633
3	R	0	30	739	10000	0.0	30513	30513.0	151.0	0	0.0	29643	0	0.0	0.0	False	0.0	True	29677
4	R	0	50	180	10000	0.0	32352	32352.0	157.0	0	0.0	31905	0	0.0	0.0	False	0.0	True	31968
5	R	0	50	295	10000	0.0	33671	33671.0	152.0	0	0.0	33022	0	0.0	0.0	False	0.0	True	33058
